filename	imageID	brightness_median	brightness_stdev	saturation_median	saturation_stdev	hue_median	hue_stdev	decade
96454b967f2d67d04db67266f7d204ae.jpg	143	191	80.1858	26	63.9821	42	49.2964	1970
978c027dcb16bd0e0ed8a8add42895d1.jpg	144	199	70.5972	74	73.7921	109	81.8329	1970
9d6d6f7b0a4e4bee64cf8c88bdfc6e37.jpg	145	183	74.4126	113	79.3312	138	75.5297	1970
9fb4a85dd07da973f02717f16f72bd9b.jpg	146	181	58.8396	110	85.0384	16	59.1809	1970
a53348b25dbc0de85b0899d6a39b04be.jpg	147	209	80.6532	95	63.2981	63	67.9393	1970
a7df670e77c77b4cb83b95d37413193d.jpg	148	144	82.4368	127	89.8979	94	48.0123	1970
a8361dd13e24de47bad290869fc5cae8.jpg	149	119	66.0978	78	51.0108	23	55.0595	1970
a861cc0875d7b089c94fdfc1a5d566e9.jpg	150	203	69.7254	128	45.5451	25	69.1653	1970
a8689ba113543d9e906059cefaa5d3c8.jpg	151	238	28.1411	152	38.5108	8	22.1636	1970
a9812d36c6efc25f9a53e993717e062e.jpg	152	179	75.7549	91	79.5664	23	62.6024	1970
aa5298a2fb21e521dc27226bf4d13b7c.jpg	153	202	30.4526	105	78.2438	29	50.6448	1970
aa6a7d43d8e3db91a40ad156fbfa0329.jpg	154	177	42.8884	137	37.4289	14	49.9932	1970
acd138260a755f54dfe4e3efa8fac227.jpg	155	161	68.0449	134	47.0235	17	53.4489	1970
ae0e83564867fd99835ca7a3a11563aa.jpg	156	192	64.5263	44	51.1277	29	92.0046	1970
ae34b1efea512c2c36062682a59c2d58.jpg	157	205	57.7281	36	39.4797	27	11.793	1970
aefeefe7ca1364893f5acd4371f5f169.jpg	158	192	55.7627	17	56.0318	103	51.453	1970
afa12411708e12cda94b8a03e69dddf1.jpg	159	16	82.3089	178	57.1543	42	26.6572	1960
apr-68-b_216x324.jpg	160	217	60.9638	91	77.2865	25	60.9949	1960
April-1962_vogue_cover_v_19nov10_240x320.jpg	161	85	58.332	86	43.0443	45	45.7669	1960
August-1961-Vogue-13May13_b_216x324.jpg	162	176	42.1999	84	76.931	246	108.9053	1960
August_1976_covers_v_17dec10_B_216x324.jpg	163	105	65.5709	54	48.7374	123	55.4933	1960
b04e0aec135ba4a59cab4cc6b1624972.jpg	164	144	69.7106	93	53.0172	27	56.4336	1960
b0734e9dff6eb62cf9052aa1439a63f5.jpg	165	175	74.8928	105	59.0387	134	57.065	1960
b136e8216d2951129b9afe8e325f775e.jpg	166	204	62.3006	81	56.4569	21	13.8415	1960
